series_played,pid,batRI,bowlRI,clusterRI
15,3.0,0.0828133324989806,0.5249078438873779,0
1,6.0,-0.1236842105263158,0.34903846153846163,0
5,9.0,0.0177686352353962,0.5732150990174039,0
1,12.0,-0.938530135301353,1.6471881390593048,3
1,13.0,-0.938530135301353,-0.07439779766001377,0
28,15.0,0.011779858008343991,0.18424615593486499,0
19,18.0,-0.06538576964864926,1.3233635948310574,3
1,21.0,-0.1569292123629113,-0.8574883720930233,2
1,22.0,0.018744906275468647,-0.8574883720930233,2
14,23.0,-0.012186536137673426,1.088079469089189,3
1,24.0,0.013066871637202127,-0.8574883720930233,2
7,28.0,-0.0585241423007213,-0.01760321186622436,0
39,29.0,-0.11031655317714323,2.2033884555178473,1
3,31.0,-0.06433328538550057,0.6679254571026721,0
1,32.0,0.0025029797377830744,1.553256704980843,3
5,37.0,-0.07443181818181818,-0.8574883720930233,2
6,38.0,-0.041105520233389876,0.5432760364004046,0
2,42.0,-0.06917613636363634,0.3593715470304879,0
1,58.0,0.013333333333333334,1.6704188481675395,3
4,59.0,0.007689290084292586,0.6058949169029766,0
1,60.0,-0.938530135301353,0.48750000000000004,0
12,63.0,-0.008538801458928866,0.6241609436538671,0
1,64.0,0.03860045146726858,-0.8574883720930233,2
6,65.0,-0.07948796443303725,3.062284498985957,1
1,68.0,-0.03363844393592677,-0.8574883720930233,2
7,69.0,-0.06571405682248041,-0.011276429130775254,0
1,71.0,0.013164556962025318,-0.8574883720930233,2
6,77.0,-0.07305793476639309,0.5439983726396327,0
5,78.0,-0.069282917296097,0.7403160799307325,0
5,79.0,0.007762086282264775,0.5841151098817791,0
23,81.0,0.06091206086675863,0.32282731757777305,0
1,88.0,-0.11789686552072802,-0.8574883720930233,2
2,92.0,-0.09480916030534352,0.7820304487179487,0
2,94.0,-0.017707443015440326,-0.8574883720930233,2
3,95.0,-0.008438340636512017,0.5192237530245326,0
1,96.0,-0.07491002570694087,0.4598824786324786,0
7,100.0,-0.0023011750534124853,-0.011774891774891775,0
3,101.0,-0.09879601826400099,-0.8574883720930233,2
2,102.0,-0.15223140495867765,-0.8574883720930233,2
5,107.0,-0.11031092402689285,0.7353199563675794,0
5,108.0,-0.09050379414728334,0.6824560152488135,0
35,109.0,-0.0005534842025560729,0.14045442168746045,0
2,110.0,0.1279796511627907,-0.8574883720930233,2
9,120.0,0.0225194092371786,0.7971703236614293,0
1,124.0,-0.938530135301353,-0.056382145653876274,0
4,129.0,-0.06692304177591575,1.7771636777534383,3
12,135.0,-0.03160223295834919,-0.8574883720930233,2
3,161.0,-0.05965421857842554,0.770995022736826,0
1,168.0,-0.938530135301353,1.0731182795698924,3
4,169.0,-0.0879133667682724,2.6705294459332847,1
1,170.0,-0.938530135301353,-0.11651504548635412,0
2,173.0,-0.09313377461913402,-0.8574883720930233,2
12,181.0,-0.020090534399567418,1.0480850590251392,3
5,185.0,0.018268619079231427,2.62887755555161,1
2,190.0,-0.1881035319164816,-0.8574883720930233,2
2,192.0,-0.06678743961352657,-0.8574883720930233,2
2,205.0,-0.08891332838121979,-0.8574883720930233,2
4,209.0,-0.0027162710034359383,0.3868521048340865,0
8,212.0,-0.014262157856418479,1.5855038863777893,3
3,218.0,-0.11163628187852985,-0.8574883720930233,2
3,221.0,-0.005986026761770037,0.8566587885239323,3
1,222.0,-0.08854489164086687,1.0381156316916489,3
4,226.0,-0.11282570963229673,0.5147792426386654,0
6,227.0,-0.17337857505518173,0.8858477147605694,3
1,230.0,-0.09182452642073778,-0.8574883720930233,2
2,233.0,-0.071630615640599,-0.8574883720930233,2
2,237.0,0.08033057851239672,-0.8574883720930233,2
2,256.0,0.08125466054986386,0.5627421758569301,0
2,261.0,-0.035124869018512056,0.15975838499443645,0
2,278.0,-0.031204091339669886,1.4762966303478404,3
5,279.0,-0.07432187612630721,1.657242411750195,3
9,280.0,-0.037225608404685646,1.9044786525000212,3
1,282.0,-0.09999999999999999,0.38007662835249045,0
12,289.0,-0.06944799041953122,0.04951553313644013,0
1,292.0,0.07438016528925621,1.3551694178974805,3
1,307.0,0.03922967189728959,1.665871833084948,3
5,317.0,0.0017705382436260626,0.6760904333034414,0
2,319.0,-0.07813264120875506,-0.8574883720930233,2
8,320.0,-0.12655122991040427,0.6457869076293701,0
1,334.0,-0.041354903943377166,1.0316538882803943,3
3,343.0,-0.013359464902186424,1.0393963207738544,3
3,348.0,0.01307393997265595,0.44161054437681013,0
2,349.0,-0.008946837310335881,0.5505099781213106,0
1,357.0,-0.17622504537205083,-0.8574883720930233,2
2,358.0,-0.938530135301353,0.8152637301990612,0
1,359.0,-0.17174887892376678,-0.8574883720930233,2
1,363.0,0.0034895314057826524,1.0677105831533478,3
2,373.0,-0.938530135301353,1.2856802484855498,3
1,374.0,0.021961932650073193,1.1003140520011687,3
2,389.0,-0.05684573330164008,1.618110260126317,3
2,390.0,-0.938530135301353,1.5887556089460477,3
3,392.0,0.029541295549019866,1.8651816159239543,3
4,393.0,-0.06070990558476424,-0.8574883720930233,2
7,394.0,0.13961979640679817,1.4972071190053804,3
1,395.0,0.03391304347826087,-0.8574883720930233,2
3,396.0,-0.3852140077821012,1.1176871473438914,3
4,405.0,0.027553659899863615,-0.8574883720930233,2
1,409.0,-0.938530135301353,1.1195071868583162,3
1,418.0,-0.09789801479174776,3.1437884151536606,1
3,419.0,-0.01967147435897435,0.5729786037462695,0
1,422.0,-0.10277634961439588,-0.8574883720930233,2
5,425.0,-0.11765662275482583,1.7561334506172728,3
1,426.0,-0.09071288423806409,-0.12600682593856655,0
6,427.0,-0.11365267063688855,0.3694837871788034,0
2,428.0,-0.07906786690085871,-0.8574883720930233,2
2,429.0,-0.1335360802267277,0.9558275484106685,3
2,430.0,0.05074786324786325,0.47581050034036754,0
2,431.0,-0.04176804011336386,1.1299523698807588,3
14,432.0,-0.031800626273111095,0.9550302605393324,3
2,433.0,-0.09999999999999998,0.9497097802938055,3
2,439.0,-0.0937046482785124,-0.8574883720930233,2
32,443.0,-0.08958567993375192,1.7545554550723863,3
6,447.0,-0.02623411105771023,-0.002571428571428571,0
4,450.0,-0.0938446240279708,0.8773267751994844,3
1,454.0,0.01200873362445415,0.5104072398190045,0
3,458.0,-0.1816470588235294,4.323496592439351,4
3,462.0,-0.938530135301353,1.2261594677198473,3
3,464.0,-0.14575237367056243,1.1644755311850858,3
3,468.0,-0.026589544191266086,-0.8574883720930233,2
9,477.0,0.0004892128729029518,-0.8574883720930233,2
1,487.0,0.0072012456208641485,-0.8574883720930233,2
1,489.0,0.0026221692491060693,-0.8574883720930233,2
1,493.0,0.3299583911234397,-0.8574883720930233,2
4,494.0,-0.10570349924168959,1.1069585864674407,3
2,495.0,0.011980278442538503,-0.8574883720930233,2
2,497.0,0.04411015767053604,0.981371087928465,3
9,503.0,-0.053635201963641216,0.7796822356805514,0
2,508.0,-0.061720336778858104,0.34516200677193337,0
4,509.0,-0.13841111166097556,1.4124914701794264,3
1,515.0,-0.08054919908466819,-0.8574883720930233,2
3,520.0,-0.026243600630735994,-0.02476031679866611,0
4,523.0,-0.04319640564826701,0.3049476464758988,0
7,530.0,-0.038839747590085676,-0.8574883720930233,2
3,547.0,0.032798956086440526,-0.8574883720930233,2
13,549.0,-0.020283568817793397,-0.04145293507553041,0
12,550.0,0.01370999998480886,1.0066919320547543,3
4,556.0,-0.035426365767600464,2.2776568562716424,1
3,559.0,-0.11863636386346788,-0.8574883720930233,2
1,566.0,-0.04198198198198199,-0.8574883720930233,2
1,567.0,0.11014634146341462,0.4026315789473684,0
1,569.0,0.059776536312849175,-0.8574883720930233,2
2,574.0,0.023140495867768594,-0.8574883720930233,2
5,582.0,-0.04533303882997846,0.47588401697312577,0
4,590.0,0.005780361198166006,1.0005479180672585,3
9,593.0,-0.00300873394466968,0.636008303439284,0
17,595.0,-0.02462410876893415,0.31459810680659755,0
2,601.0,-0.07049385885542715,1.7406337412587414,3
1,610.0,0.006305955624756718,1.5575951903807612,3
5,625.0,-0.02272907945426486,1.9081577970630634,3
7,627.0,-0.04810174850829728,0.6830191512301176,0
2,629.0,-0.013688685415304117,-0.8574883720930233,2
9,634.0,0.00801021971494407,-0.8574883720930233,2
3,643.0,0.0193477059148701,2.7753458543694856,1
1,644.0,-0.08672672672672674,1.6548895899053628,3
7,645.0,-0.09799361184267374,-0.8574883720930233,2
9,648.0,0.09192712552690799,-0.8574883720930233,2
2,656.0,0.016560169091830147,0.6864823717948719,0
8,679.0,-0.07517976022899257,0.09865784454072703,0
2,681.0,-0.10000000000000002,2.1986337225754116,1
5,682.0,0.008675503964426786,1.4908128620715009,3
2,684.0,-0.05745799775511025,0.8968213915074126,3
4,707.0,-0.08556797276445152,1.651384984540882,3
10,708.0,-0.01899313247173564,1.5641490821511435,3
2,717.0,0.0054117809648385334,-0.8574883720930233,2
1,726.0,-0.08068181818181817,-0.8574883720930233,2
2,728.0,-0.1009279949007728,-0.1778496362166532,0
11,734.0,0.049294148955578224,-0.8574883720930233,2
1,740.0,-0.0975982532751092,-0.8574883720930233,2
